ids,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address,Avg Area Comfort
0,79545.45857,missing,?,,23086.8005,"$1,059,033.56 ","208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101",0.289936724
1,79248.64245,6.002899808,6.730821019,3.09,40173.07217,Rs20078.545531292668,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958",
2,61287.06718,5.86588984,8.51272743,5.13,36882.1594,"$1,058,987.99 ","9127 Elizabeth Stravenue
Danieltown, WI 06482-3489",
3,63345.24005,7.188236095,?,,34310.24283,Rs16808.224088392624,"USS Barnett
FPO AP 44820",
4,59982.19723,5.040554523,7.839387785,4.23,26354.10947,"$630,943.49 ","USNS Raymond
FPO AE 09386",
5,80175.75416,4.988407758,6.104512439,4.04,26748.42842,Rs14241.840991913738,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077",
6,64698.46343,6.025335907,?,,60828.24909,"$1,502,055.82 ","4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247",
7,78394.33928,6.989779748,6.620477995,2.42,36516.35897,Rs20985.820859702955,"972 Joyce Viaduct
Lake William, TN 17778-6483",
8,59927.66081,5.36212557,6.393120981,2.3,29387.396,"$798,869.53 ","USS Gilbert
FPO AA 20957",
9,81885.92718,4.42367179,?,,40149.96575,Rs20602.0641685595,"Unit 9446 Box 0958
DPO AE 97025",
10,80527.47208,8.093512681,5.0427468,4.1,47224.35984,"$1,707,045.72 ","6368 John Motorway Suite 700
Janetbury, NM 26854",
11,50593.6955,4.496512793,7.467627404,4.49,34343.99189,Rs8849.765291951031,"911 Castillo Park Apt. 717
Davisborough, PW 78603",
12,39033.80924,7.671755373,?,,39220.36147,"$1,042,814.10 ","209 Natasha Stream Suite 961
Huffmanland, NE 52457",
13,73163.66344,6.919534825,5.993187901,2.27,32326.12314,Rs17217.753579810942,"829 Welch Track Apt. 992
North John, AR 26532-5136",
14,69391.38018,5.344776177,8.406417715,4.37,35521.29403,"$1,402,818.21 ","PSC 5330, Box 4420
APO AP 08302",
15,73091.86675,5.443156467,?,,23929.52405,Rs17422.328799349325,"2278 Shannon View
North Carriemouth, NM 84617",
16,79706.96306,5.067889591,8.219771123,3.12,39717.81358,"$1,556,786.60 ","064 Hayley Unions
Nicholsborough, HI 44161-1887",
17,61929.07702,4.788550242,5.097009554,4.3,24595.9015,Rs7046.469956407952,"5498 Rachel Locks
New Gregoryshire, PW 54755",
18,63508.1943,5.94716514,?,,35719.65305,"$1,019,425.94 ","Unit 7424 Box 2786
DPO AE 71255",
19,62085.2764,5.739410844,7.091808104,5.49,44922.1067,Rs13741.219056154778,"19696 Benjamin Cape
Stephentown, ME 36952-4733",
20,86294.99909,6.62745694,8.011897853,4.07,47560.77534,"$2,146,925.34 ","030 Larry Park Suite 665
Thomashaven, HI 87941-5197",
21,60835.08998,5.551221592,?,,45574.74166,Rs12389.967993818667,"USNS Brown
FPO AP 85833",
22,64490.65027,4.21032287,5.478087731,4.31,40358.96011,"$718,887.23 ","95198 Ortiz Key
Port Sara, TN 24541-2855",
23,60697.35154,6.170484091,7.150536572,6.34,28140.96709,Rs9919.997588802631,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804",
24,59748.85549,5.339339881,?,,27809.98654,"$895,737.13 ","24282 Paul Valley
West Perry, MI 03169-5806",
25,56974.47654,8.287562194,7.312879971,4.33,40694.86951,Rs19386.32674601163,"61938 Brady Falls
Lewisfort, DE 61227",0.007437115
26,82173.62608,4.018524685,6.992698757,2.03,38853.91807,"$1,125,692.51 ","3599 Ramirez Springs
Jacksonhaven, AZ 72798",
27,64626.88098,5.44335959,?,,27784.74228,Rs13005.726570572297,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814",
28,90499.05745,6.384358921,4.242191302,3.04,33970.16499,"$1,240,763.77 ","6531 Chase Prairie Apt. 245
Susanshire, MN 22365",
29,59323.7921,6.97782794,8.273697078,4.07,37520.65773,Rs21026.903466687396,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832",
30,77811.52203,5.314460215,?,,33754.7378,"$1,246,830.19 ","1359 Mitchell Vista
Courtneyfort, NY 93065-7224",
31,68652.60921,6.1243421,6.290820167,4.42,39355.62573,Rs15609.61191539056,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110",
32,55041.35158,7.127128553,8.591923294,5.36,30122.47348,"$1,071,279.21 ","0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041",
33,50218.70846,6.118808131,?,,16810.78331,Rs7124.068431132389,"039 Jordan Pike
Emilyville, ID 27442",
34,55909.3223,5.419562911,9.289854372,6,22355.23541,"$936,368.96 ","66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766",
35,74372.81021,5.500128573,6.593045604,2.07,39395.15118,Rs15989.251084393483,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811",
36,78667.9046,5.470652207,?,,27637.65655,"$1,233,220.01 ","34964 Sara Fields Apt. 584
Port Raymondville, MO 63585",
37,78699.5151,5.652783637,6.756453856,3.01,22836.60757,Rs14415.335006450765,"7585 Lynn Loop
East Judy, WV 73336",
38,53128.18545,5.180664125,5.426902859,2.39,32947.71196,"$524,712.77 ","Unit 1388 Box 9350
DPO AP 70848",
39,17796.63119,4.949557006,?,,47162.18364,Rs4031.411146386074,"9932 Eric Circles
Lake Martha, WY 34611-6127",
40,58566.84936,6.579691453,5.034525352,2.17,39705.46496,"$1,026,817.40 ","7896 Walker Spring
Loriport, MH 72956",
41,75537.79451,7.845215914,7.555660721,6.3,32778.19534,Rs23496.195727758477,"549 Darren Plaza
Lake Kevin, UT 27155",
42,46147.05306,6.623332829,?,,27161.12861,"$882,057.17 ","90634 Michelle Valleys
North Victoria, WV 99370",
